55785e_10	 Am spart ușile unei cabine și am căzut la pământ...	 Am dat buzna printre uși și am căzut.
52772n_13	 Teba și-a păstrat puterea până în timpul celei de-a 12-a dinastii, când primul său rege, Amenemhet I, care a domnit între 1980 și 1951 î.Hr., a stabilit o capitală lângă Memphis.	 Capitala de lângă Memphis a durat doar o jumătate de secol înainte ca locuitorii săi să o abandoneze pentru următoarea capitală. 
102489c_14	 Nu vreau să mă exprim cu ușurință în legătură cu preocupările dumneavoastră, dar dacă aș fi în locul dumneavoastră, aș fi mai îngrijorat de implicațiile pe termen scurt ale acestor 1 dolar.	 Mă îngrijorează mai mult problemele dvs. decât implicațiile ratei pe termen scurt.
129069n_25	 și este destul de mult, cred că șase și ceva reprezintă statul și restul plăcintei se duce în altă parte, dar noi suntem într-o anumită parte a statului care stă destul de bine, așa că este ca și cum am primi o mulțime de bani înapoi în ceea ce privește taxele locale.	 Nu știu exact unde se duc taxele locale.
103123c_66	 Cu toate acestea, dacă întrebarea de evaluare cere GAO să raporteze cât de satisfăcător este progresul sau motivele problemelor de implementare, cu cât mai mulți angajați pot fi la fața locului în timp, cu o bază mai bogată sau mai groasă pentru a examina situația așa cum o văd numeroasele persoane implicate, cu atât mai solide vor fi concluziile noastre cauzale și recomandările ulterioare.	 Dacă GAO trebuie să raporteze cu privire la progresele înregistrate, recomandările vor fi de o calitate mult mai slabă.
18783e_75	 Ne-am împuțit tot timpul.	 Întotdeauna suntem nașpa.
133772e_83	 Așa cum Daily Worker și New Masses , ziare socialiste din anii 1930, erau presărate cu citate din Marx și Engels, Educational Liberator este presărat cu referințe la echivalenții lor libertarieni - Friedrich Hayek și Ludwig von Mises.	 Citatele din Marx erau folosite în ziarele socialiste din anii '30. 
11647n_84	 Pentru a fi sigur că orice obiect de broderie este autentic (spre deosebire de o piesă inferioară de import sau fabricată la mașină), căutați un sigiliu de plumb cu un M, emblema IBTAM, ceea ce înseamnă că a fost certificat de Instituto de Bordado, Tapecaras e Arte?sanato da Madeira (Institutul de Broderie, Tapiserie și Artizanat din Madeira), o organizație oficială a insulei care are o sală de expoziții/muzeu pe Rua Visconde de Anadia, 44.	 Există un sigiliu care arată autenticitatea articolelor de broderie realizate în Italia.
133436e_97	 Nu, oh, nu, oh, bine, ai grijă.	 La revedere pentru moment.
85540e_112	 "Mai puțin zgomotos.	 Vă rog să faceți liniște.
63250c_138	 Sindicatul are aproximativ 4 000 de membri în Canada.	 În sindicat sunt 100 de membri care locuiesc în Canada.
